scale,tiles,n,m,run,seed,algorithm,objective_type,objective,runtime,bbox_width,bbox_height,num_tiles,total_crossovers,crossovers_needing_completion,total_tiles_completed,completion_rate,avg_tiles_per_incomplete
large,80,3,3,6,542,genetic_stochastic,square,17,209.348333893,17,17,80,28369,1309,88844,0.046141915471112835,67.8716577540107
large,80,3,3,7,642,greedy,square,18,2.470539542,18,18,80,,,,,
large,80,3,3,7,642,stochastic_greedy,square,18,1.367739872,18,18,80,,,,,
large,80,3,3,7,642,genetic_greedy,square,16,115.46910601,16,16,80,28208,665,45740,0.023574872376630744,68.78195488721805
large,80,3,3,7,642,genetic_stochastic,square,17,378.014344041,17,17,80,28389,2711,172861,0.09549473387579696,63.762818148284765
large,80,3,3,8,742,greedy,square,16,1.901340334,16,16,80,,,,,
large,80,3,3,8,742,stochastic_greedy,square,18,2.298503965,17,18,80,,,,,
large,80,3,3,8,742,genetic_greedy,square,16,222.240980284,16,16,80,28470,1206,88386,0.042360379346680715,73.28855721393035
large,80,3,3,8,742,genetic_stochastic,square,17,366.101793955,17,17,80,28334,2446,162659,0.08632738053222277,66.5
large,80,3,3,9,842,greedy,square,17,2.305404631,16,17,80,,,,,
large,80,3,3,9,842,stochastic_greedy,square,19,2.427855484,18,19,80,,,,,
large,80,3,3,9,842,genetic_greedy,square,16,168.123416576,16,16,80,28456,989,69619,0.03475541186393028,70.3933265925177
large,80,3,3,9,842,genetic_stochastic,square,17,192.233014938,17,17,80,28317,1252,81858,0.04421372320514179,65.3817891373802
large,80,3,3,10,942,greedy,square,17,0.404390787,16,17,80,,,,,
large,80,3,3,10,942,stochastic_greedy,square,18,1.140535283,18,18,80,,,,,
large,80,3,3,10,942,genetic_greedy,square,16,86.93991205,16,16,80,28321,369,25446,0.01302920094629427,68.95934959349593
large,80,3,3,10,942,genetic_stochastic,square,17,235.679993807,17,17,80,28310,1571,105898,0.05549275874249382,67.4080203691916
large,80,3,3,11,1042,greedy,square,18,2.321445705,18,18,80,,,,,
large,80,3,3,11,1042,stochastic_greedy,square,19,2.1846414,19,19,80,,,,,
large,80,3,3,11,1042,genetic_greedy,square,17,287.373880922,17,17,80,28168,1798,124795,0.06383129792672536,69.40767519466074
large,80,3,3,11,1042,genetic_stochastic,square,17,193.886858882,17,17,80,28335,1867,77285,0.06589024175048526,41.39528655597215
large,80,3,3,12,1142,greedy,square,18,2.986155897,18,18,80,,,,,
large,80,3,3,12,1142,stochastic_greedy,square,18,2.833863974,18,18,80,,,,,
large,80,3,3,12,1142,genetic_greedy,square,16,246.129785799,16,16,80,28324,3068,104595,0.10831803417596385,34.09224250325945
large,80,3,3,12,1142,genetic_stochastic,square,17,272.519893925,17,16,80,28297,2084,123132,0.07364738311481782,59.08445297504799
large,80,3,3,13,1242,greedy,square,17,0.641872293,17,17,80,,,,,
large,80,3,3,13,1242,stochastic_greedy,square,18,2.143114405,18,18,80,,,,,
large,80,3,3,13,1242,genetic_greedy,square,16,143.153170774,16,16,80,28367,852,58944,0.030034899707406495,69.1830985915493
large,80,3,3,13,1242,genetic_stochastic,square,17,163.095355355,17,17,80,28433,5831,71912,0.2050786058453206,12.33270451037558
large,80,3,3,14,1342,greedy,square,17,2.578115128,16,17,80,,,,,
large,80,3,3,14,1342,stochastic_greedy,square,19,2.75736436,18,19,80,,,,,
large,80,3,3,14,1342,genetic_greedy,square,16,150.304395109,16,16,80,28371,867,60235,0.030559374008670825,69.47520184544406
large,80,3,3,14,1342,genetic_stochastic,square,17,303.521491734,17,17,80,28452,2039,137413,0.0716645578518206,67.3923491907798
large,80,3,3,15,1442,greedy,square,18,0.552804803,18,18,80,,,,,
large,80,3,3,15,1442,stochastic_greedy,square,19,0.034303949,19,19,80,,,,,
large,80,3,3,15,1442,genetic_greedy,square,17,248.88891763,17,17,80,28443,1428,100894,0.050205674506908556,70.65406162464986
large,80,3,3,15,1442,genetic_stochastic,square,17,297.06109271,17,17,80,28281,6202,144243,0.21929917612531383,23.257497581425348
large,80,3,3,16,1542,greedy,square,17,2.229247044,17,17,80,,,,,
large,80,3,3,16,1542,stochastic_greedy,square,18,2.396534745,17,18,80,,,,,
large,80,3,3,16,1542,genetic_greedy,square,16,129.255843338,16,16,80,28311,575,40474,0.020310126805835188,70.38956521739131
large,80,3,3,16,1542,genetic_stochastic,square,17,240.175614386,17,17,80,28115,1308,89264,0.04652320825182287,68.24464831804282
large,80,3,3,17,1642,greedy,square,17,2.921168746,17,17,80,,,,,
large,80,3,3,17,1642,stochastic_greedy,square,17,3.323039728,17,17,80,,,,,
large,80,3,3,17,1642,genetic_greedy,square,16,152.969792549,16,16,80,28356,764,52490,0.02694315136126393,68.70418848167539
