scale,tiles,n,m,run,seed,algorithm,objective,runtime,bbox_width,bbox_height,num_tiles,total_crossovers,crossovers_needing_completion,total_tiles_completed,completion_rate,avg_tiles_per_incomplete
large,80,3,3,5,442,genetic_greedy,16,106.768864974,15,16,80,28272,569,38346,0.020125919637804187,67.39191564147627
large,80,3,3,5,442,genetic_stochastic,16,185.322409279,16,16,80,28226,1168,80319,0.04138028767802735,68.76626712328768
large,80,3,3,6,542,greedy,17,2.429663222,17,17,80,,,,,
large,80,3,3,6,542,stochastic_greedy,18,2.287775961,18,18,80,,,,,
large,80,3,3,6,542,genetic_greedy,16,100.615548483,16,16,80,28064,492,34396,0.017531356898517675,69.91056910569105
large,80,3,3,6,542,genetic_stochastic,17,209.348333893,17,17,80,28369,1309,88844,0.046141915471112835,67.8716577540107
large,80,3,3,7,642,greedy,18,2.470539542,18,18,80,,,,,
large,80,3,3,7,642,stochastic_greedy,18,1.367739872,18,18,80,,,,,
large,80,3,3,7,642,genetic_greedy,16,115.46910601,16,16,80,28208,665,45740,0.023574872376630744,68.78195488721805
large,80,3,3,7,642,genetic_stochastic,17,378.014344041,17,17,80,28389,2711,172861,0.09549473387579696,63.762818148284765
large,80,3,3,8,742,greedy,16,1.901340334,16,16,80,,,,,
large,80,3,3,8,742,stochastic_greedy,18,2.298503965,17,18,80,,,,,
large,80,3,3,8,742,genetic_greedy,16,222.240980284,16,16,80,28470,1206,88386,0.042360379346680715,73.28855721393035
large,80,3,3,8,742,genetic_stochastic,17,366.101793955,17,17,80,28334,2446,162659,0.08632738053222277,66.5
large,80,3,3,9,842,greedy,17,2.305404631,16,17,80,,,,,
large,80,3,3,9,842,stochastic_greedy,19,2.427855484,18,19,80,,,,,
large,80,3,3,9,842,genetic_greedy,16,168.123416576,16,16,80,28456,989,69619,0.03475541186393028,70.3933265925177
large,80,3,3,9,842,genetic_stochastic,17,192.233014938,17,17,80,28317,1252,81858,0.04421372320514179,65.3817891373802
large,80,3,3,10,942,greedy,17,0.404390787,16,17,80,,,,,
large,80,3,3,10,942,stochastic_greedy,18,1.140535283,18,18,80,,,,,
large,80,3,3,10,942,genetic_greedy,16,86.93991205,16,16,80,28321,369,25446,0.01302920094629427,68.95934959349593
large,80,3,3,10,942,genetic_stochastic,17,235.679993807,17,17,80,28310,1571,105898,0.05549275874249382,67.4080203691916
large,80,3,3,11,1042,greedy,18,2.321445705,18,18,80,,,,,
large,80,3,3,11,1042,stochastic_greedy,19,2.1846414,19,19,80,,,,,
large,80,3,3,11,1042,genetic_greedy,17,287.373880922,17,17,80,28168,1798,124795,0.06383129792672536,69.40767519466074
large,80,3,3,11,1042,genetic_stochastic,17,193.886858882,17,17,80,28335,1867,77285,0.06589024175048526,41.39528655597215
large,80,3,3,12,1142,greedy,18,2.986155897,18,18,80,,,,,
large,80,3,3,12,1142,stochastic_greedy,18,2.833863974,18,18,80,,,,,
large,80,3,3,12,1142,genetic_greedy,16,246.129785799,16,16,80,28324,3068,104595,0.10831803417596385,34.09224250325945
large,80,3,3,12,1142,genetic_stochastic,17,272.519893925,17,16,80,28297,2084,123132,0.07364738311481782,59.08445297504799
large,80,3,3,13,1242,greedy,17,0.641872293,17,17,80,,,,,
large,80,3,3,13,1242,stochastic_greedy,18,2.143114405,18,18,80,,,,,
large,80,3,3,13,1242,genetic_greedy,16,143.153170774,16,16,80,28367,852,58944,0.030034899707406495,69.1830985915493
large,80,3,3,13,1242,genetic_stochastic,17,163.095355355,17,17,80,28433,5831,71912,0.2050786058453206,12.33270451037558
large,80,3,3,14,1342,greedy,17,2.578115128,16,17,80,,,,,
large,80,3,3,14,1342,stochastic_greedy,19,2.75736436,18,19,80,,,,,
large,80,3,3,14,1342,genetic_greedy,16,150.304395109,16,16,80,28371,867,60235,0.030559374008670825,69.47520184544406
large,80,3,3,14,1342,genetic_stochastic,17,303.521491734,17,17,80,28452,2039,137413,0.0716645578518206,67.3923491907798
large,80,3,3,15,1442,greedy,18,0.552804803,18,18,80,,,,,
large,80,3,3,15,1442,stochastic_greedy,19,0.034303949,19,19,80,,,,,
large,80,3,3,15,1442,genetic_greedy,17,248.88891763,17,17,80,28443,1428,100894,0.050205674506908556,70.65406162464986
large,80,3,3,15,1442,genetic_stochastic,17,297.06109271,17,17,80,28281,6202,144243,0.21929917612531383,23.257497581425348
large,80,3,3,16,1542,greedy,17,2.229247044,17,17,80,,,,,
large,80,3,3,16,1542,stochastic_greedy,18,2.396534745,17,18,80,,,,,
large,80,3,3,16,1542,genetic_greedy,16,129.255843,16,16,80,28311,575,40474,0.020310126805835188,70.38956521739131
large,80,3,3,16,1542,genetic_stochastic,17,240.175614,17,17,80,28115,1308,89264,0.04652320825182287,68.24464831804282
large,80,3,3,17,1642,greedy,17,2.921169,17,17,80,,,,,
large,80,3,3,17,1642,stochastic_greedy,17,3.32304,17,17,80,,,,,
large,80,3,3,17,1642,genetic_greedy,16,152.969793,16,16,80,28356,764,52490,0.02694315136126393,68.70418848167539
large,80,3,3,17,1642,genetic_stochastic,16,231.74246,16,16,80,28330,1367,88981,0.04825273561595482,65.09217264081931
large,80,3,3,18,1742,greedy,18,3.648013,17,18,80,,,,,
large,80,3,3,18,1742,stochastic_greedy,18,2.982781,18,18,80,,,,,
large,80,3,3,18,1742,genetic_greedy,16,144.383422,16,16,80,28206,585,41479,0.020740268028079132,70.9042735042735
large,80,3,3,18,1742,genetic_stochastic,17,326.92213,17,17,80,28459,1333,91785,0.046839312695456624,68.85596399099775
large,80,3,3,19,1842,greedy,18,4.666323,17,18,80,,,,,
large,80,3,3,19,1842,stochastic_greedy,18,5.785485,18,18,80,,,,,
large,80,3,3,19,1842,genetic_greedy,17,202.085067,17,17,80,28512,878,62371,0.03079405162738496,71.0375854214123
large,80,3,3,19,1842,genetic_stochastic,17,278.363025,17,17,80,28319,1581,108231,0.05582824252268795,68.4573055028463
large,80,3,3,20,1942,greedy,17,2.967825,17,16,80,,,,,
large,80,3,3,20,1942,stochastic_greedy,18,3.473906,18,17,80,,,,,
large,80,3,3,20,1942,genetic_greedy,16,150.319346,16,16,80,28477,737,51922,0.025880535168732663,70.4504748982361
large,80,3,3,20,1942,genetic_stochastic,16,249.181571,16,16,80,28429,4488,108143,0.1578669668296458,24.096033868092693
large,100,3,3,1,42,greedy,19,3.998172,19,19,100,,,,,
large,100,3,3,1,42,stochastic_greedy,19,4.10901,19,19,100,,,,,
large,100,3,3,1,42,genetic_greedy,17,322.719525,17,17,100,28481,938,84287,0.03293423685966083,89.85820895522389
large,100,3,3,2,142,greedy,18,3.322185,18,18,100,,,,,
large,100,3,3,2,142,stochastic_greedy,20,3.395305,20,19,100,,,,,
